dataset_id,dataset_family,publication_included,configured,publication_completed_row_count,alpha_count,method_label_count,coverage_gated_selected_cell_count,cqr_backend_paired_cell_count,public_card_path,public_card_html_path,claim_role
openml_sleuth_case1201_rank,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_sleuth_case1201_rank.md,atlas/datasets/cards/openml_sleuth_case1201_rank.html,empirical_result_surface
openml_sleuth_case1202_experience,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_sleuth_case1202_experience.md,atlas/datasets/cards/openml_sleuth_case1202_experience.html,empirical_result_surface
openml_sleuth_ex1714_invol,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_sleuth_ex1714_invol.md,atlas/datasets/cards/openml_sleuth_ex1714_invol.html,empirical_result_surface
openml_smsa_nox,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_smsa_nox.md,atlas/datasets/cards/openml_smsa_nox.html,empirical_result_surface
openml_socmob_sons_occupation,openml,true,true,30,1,6,1,0,atlas/datasets/cards/openml_socmob_sons_occupation.md,atlas/datasets/cards/openml_socmob_sons_occupation.html,empirical_result_surface
openml_space_ga_log_votes_pop,openml,true,true,18,1,6,1,0,atlas/datasets/cards/openml_space_ga_log_votes_pop.md,atlas/datasets/cards/openml_space_ga_log_votes_pop.html,empirical_result_surface
oulad_assessment_score,oulad,true,true,15,1,5,1,0,atlas/datasets/cards/oulad_assessment_score.md,atlas/datasets/cards/oulad_assessment_score.html,empirical_result_surface
pisa_2022_math_pv_mean,pisa,true,true,1701,1,11,1,7,atlas/datasets/cards/pisa_2022_math_pv_mean.md,atlas/datasets/cards/pisa_2022_math_pv_mean.html,empirical_result_surface
scf_2022_networth,scf,true,true,1422,1,10,1,6,atlas/datasets/cards/scf_2022_networth.md,atlas/datasets/cards/scf_2022_networth.html,empirical_result_surface
stackoverflow_2025_compensation,stackoverflow,true,true,4397,5,10,5,6,atlas/datasets/cards/stackoverflow_2025_compensation.md,atlas/datasets/cards/stackoverflow_2025_compensation.html,empirical_result_surface
uci_auto_mpg,uci,true,true,754,1,12,1,7,atlas/datasets/cards/uci_auto_mpg.md,atlas/datasets/cards/uci_auto_mpg.html,empirical_result_surface
uci_bike_sharing,uci,true,true,732,1,7,1,7,atlas/datasets/cards/uci_bike_sharing.md,atlas/datasets/cards/uci_bike_sharing.html,empirical_result_surface
uci_communities_crime,uci,true,true,732,1,7,1,7,atlas/datasets/cards/uci_communities_crime.md,atlas/datasets/cards/uci_communities_crime.html,empirical_result_surface
uci_student_performance,uci,false,true,0,0,0,0,0,atlas/datasets/cards/uci_student_performance.md,atlas/datasets/cards/uci_student_performance.html,configured_or_source_scope_only
uci_student_performance_no_prior_grades,uci,true,true,747,1,7,1,7,atlas/datasets/cards/uci_student_performance_no_prior_grades.md,atlas/datasets/cards/uci_student_performance_no_prior_grades.html,empirical_result_surface
uci_student_performance_with_prior_grades,uci,true,true,732,1,7,1,7,atlas/datasets/cards/uci_student_performance_with_prior_grades.md,atlas/datasets/cards/uci_student_performance_with_prior_grades.html,empirical_result_surface
uci_wine_quality,uci,true,true,2250,5,7,5,7,atlas/datasets/cards/uci_wine_quality.md,atlas/datasets/cards/uci_wine_quality.html,empirical_result_surface
uci_wine_quality_dedup,uci,true,true,2160,1,7,1,7,atlas/datasets/cards/uci_wine_quality_dedup.md,atlas/datasets/cards/uci_wine_quality_dedup.html,empirical_result_surface
