dataset_id,target_id,alpha,method_label,canonical_method_id,method_family,coverage_mean,coverage_ci_low_raw,coverage_ci_high_raw,clipped_coverage_ci_low,clipped_coverage_ci_high,coverage_ci_clipped,finite_domain_validation_status,width_mean,interval_score_mean,numerical_pathology_flag,numerical_pathology_reason,display_interval_policy,recommended_plot_scale,source_artifact
college_scorecard_2026_median_earnings,college_scorecard_2026_median_earnings,0.1,venn_abers_split_fallback,venn_abers_bridge,venn_abers_or_inductive_distributional_bridge,0.893497948893,0.888314077798,0.898681819988,0.888314077798,0.898681819988,false,coverage_ci_within_probability_domain,50489.6598647,63429.4902136,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,cqr,cqr,quantile_conformal,0.991189493203,0.990997064938,0.991381921467,0.990997064938,0.991381921467,false,coverage_ci_within_probability_domain,623355.875915,745883.47945,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,cv_plus,cv_plus,cross_validation_plus,0.989275229648,0.989031796896,0.9895186624,0.989031796896,0.9895186624,false,coverage_ci_within_probability_domain,577088.38226,737346.031522,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,mondrian_abs,mondrian_abs,group_stratified_residual,0.993632475501,0.993392290046,0.993872660956,0.993392290046,0.993872660956,false,coverage_ci_within_probability_domain,1011651.45481,1143526.0593,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,normalized_abs,normalized_abs,normalized_residual,0.991608037252,0.99137659777,0.991839476735,0.99137659777,0.991839476735,false,coverage_ci_within_probability_domain,106921060.494,107041921.782,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,shrink_0.00,shrinkage_split,shrinkage_split,0.9912990517,0.990996147672,0.991601955728,0.990996147672,0.991601955728,false,coverage_ci_within_probability_domain,690268.041789,836313.177663,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,shrink_0.25,shrinkage_split,shrinkage_split,0.992319903565,0.992063489314,0.992576317816,0.992063489314,0.992576317816,false,coverage_ci_within_probability_domain,744848.509036,885625.395959,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,shrink_0.50,shrinkage_split,shrinkage_split,0.993003693447,0.992763148265,0.993244238628,0.992763148265,0.993244238628,false,coverage_ci_within_probability_domain,813808.563443,949770.810779,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,shrink_0.75,shrinkage_split,shrinkage_split,0.993370284287,0.993132949941,0.993607618633,0.993132949941,0.993607618633,false,coverage_ci_within_probability_domain,901023.90552,1033612.87443,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,shrink_1.00,shrinkage_split,shrinkage_split,0.993632475501,0.993392290046,0.993872660956,0.993392290046,0.993872660956,false,coverage_ci_within_probability_domain,1011651.45481,1143526.0593,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.01,split_abs,split_abs,split_conformal,0.9912990517,0.990996147672,0.991601955728,0.990996147672,0.991601955728,false,coverage_ci_within_probability_domain,690268.041789,836313.177663,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.05,cqr,cqr,quantile_conformal,0.951946755852,0.951312063335,0.952581448369,0.951312063335,0.952581448369,false,coverage_ci_within_probability_domain,175397.563709,297791.815927,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.05,cv_plus,cv_plus,cross_validation_plus,0.950797480542,0.950304823127,0.951290137957,0.950304823127,0.951290137957,false,coverage_ci_within_probability_domain,230334.799601,341535.483368,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.05,mondrian_abs,mondrian_abs,group_stratified_residual,0.95235315405,0.951784174621,0.952922133478,0.951784174621,0.952922133478,false,coverage_ci_within_probability_domain,245995.22224,354063.289875,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.05,normalized_abs,normalized_abs,normalized_residual,0.950527785608,0.949956149733,0.951099421482,0.949956149733,0.951099421482,false,coverage_ci_within_probability_domain,290009.058601,391680.552025,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
fairlearn_acs_income_wy,fairlearn_acs_income_wy,0.05,shrink_0.00,shrinkage_split,shrinkage_split,0.95052591071,0.949983660635,0.951068160785,0.949983660635,0.951068160785,false,coverage_ci_within_probability_domain,235118.802265,344404.67304,false,,display_raw_value,linear,experiments/regression/reports/methodology_sanity_audit_20260627/method_performance_synthesis.json
